IdCity;City
1;Henderson
2;Los Angeles
3;Fort Lauderdale
4;Concord
5;Seattle
6;Fort Worth
7;Madison
8;West Jordan
9;San Francisco
10;Fremont
11;Philadelphia
12;Orem
13;Houston
14;Richardson
15;Naperville
16;Melbourne
17;Eagan
18;Westland
19;Dover
20;New Albany
21;New York City
22;Troy
23;Chicago
24;Gilbert
25;Springfield
26;Jackson
27;Memphis
28;Decatur
29;Durham
30;Columbia
31;Rochester
32;Minneapolis
33;Portland
34;Saint Paul
35;Aurora
36;Charlotte
37;Orland Park
38;Urbandale
39;Columbus
40;Bristol
41;Wilmington
42;Bloomington
43;Phoenix
44;Roseville
45;Independence
46;Pasadena
47;Newark
48;Franklin
49;Scottsdale
50;San Jose
51;Edmond
52;Carlsbad
53;San Antonio
54;Monroe
55;Fairfield
56;Grand Prairie
57;Redlands
58;Hamilton
59;Westfield
60;Akron
61;Denver
62;Dallas
63;Whittier
64;Saginaw
65;Medina
66;Dublin
67;Detroit
68;Tampa
69;Santa Clara
70;Lakeville
71;San Diego
72;Brentwood
73;Chapel Hill
74;Morristown
75;Cincinnati
76;Inglewood
77;Tamarac
78;Colorado Springs
79;Belleville
80;Taylor
81;Lakewood
82;Arlington
83;Arvada
84;Hackensack
85;Saint Petersburg
86;Long Beach
87;Hesperia
88;Murfreesboro
89;Layton
90;Austin
91;Lowell
92;Manchester
93;Harlingen
94;Tucson
95;Quincy
96;Pembroke Pines
97;Des Moines
98;Peoria
99;Las Vegas
100;Warwick
101;Miami
102;Huntington Beach
103;Richmond
104;Louisville
105;Lawrence
106;Canton
107;New Rochelle
108;Gastonia
109;Jacksonville
110;Auburn
111;Norman
112;Park Ridge
113;Amarillo
114;Lindenhurst
115;Huntsville
116;Fayetteville
117;Costa Mesa
118;Parker
119;Atlanta
120;Gladstone
121;Great Falls
122;Lakeland
123;Montgomery
124;Mesa
125;Green Bay
126;Anaheim
127;Marysville
128;Salem
129;Laredo
130;Grove City
131;Dearborn
132;Warner Robins
133;Vallejo
134;Mission Viejo
135;Rochester Hills
136;Plainfield
137;Sierra Vista
138;Vancouver
139;Cleveland
140;Tyler
141;Burlington
142;Waynesboro
143;Chester
144;Cary
145;Palm Coast
146;Mount Vernon
147;Hialeah
148;Oceanside
149;Evanston
150;Trenton
151;Cottage Grove
152;Bossier City
153;Lancaster
154;Asheville
155;Lake Elsinore
156;Omaha
157;Edmonds
158;Santa Ana
159;Milwaukee
160;Florence
161;Lorain
162;Linden
163;Salinas
164;New Brunswick
165;Garland
166;Norwich
167;Alexandria
168;Toledo
169;Farmington
170;Riverside
171;Torrance
172;Round Rock
173;Boca Raton
174;Virginia Beach
175;Murrieta
176;Olympia
177;Washington
178;Jefferson City
179;Saint Peters
180;Rockford
181;Brownsville
182;Yonkers
183;Oakland
184;Clinton
185;Encinitas
186;Roswell
187;Jonesboro
188;Antioch
189;Homestead
190;La Porte
191;Lansing
192;Cuyahoga Falls
193;Reno
194;Harrisonburg
195;Escondido
196;Royal Oak
197;Rockville
198;Coral Springs
199;Buffalo
200;Boynton Beach
201;Gulfport
202;Fresno
203;Greenville
204;Macon
205;Cedar Rapids
206;Providence
207;Pueblo
208;Deltona
209;Murray
210;Middletown
211;Freeport
212;Pico Rivera
213;Provo
214;Pleasant Grove
215;Smyrna
216;Parma
217;Mobile
218;New Bedford
219;Irving
220;Vineland
221;Glendale
222;Niagara Falls
223;Thomasville
224;Westminster
225;Coppell
226;Pomona
227;North Las Vegas
228;Allentown
229;Tempe
230;Laguna Niguel
231;Bridgeton
232;Everett
233;Watertown
234;Appleton
235;Bellevue
236;Allen
237;El Paso
238;Grapevine
239;Carrollton
240;Kent
241;Lafayette
242;Tigard
243;Skokie
244;Plano
245;Suffolk
246;Indianapolis
247;Bayonne
248;Greensboro
249;Baltimore
250;Kenosha
251;Olathe
252;Tulsa
253;Redmond
254;Raleigh
255;Muskogee
256;Meriden
257;Bowling Green
258;South Bend
259;Spokane
260;Keller
261;Port Orange
262;Medford
263;Charlottesville
264;Missoula
265;Apopka
266;Reading
267;Broomfield
268;Paterson
269;Oklahoma City
270;Chesapeake
271;Lubbock
272;Johnson City
273;San Bernardino
274;Leominster
275;Bozeman
276;Perth Amboy
277;Ontario
278;Rancho Cucamonga
279;Moorhead
280;Mesquite
281;Stockton
282;Ormond Beach
283;Sunnyvale
284;York
285;College Station
286;Saint Louis
287;Manteca
288;San Angelo
289;Salt Lake City
290;Knoxville
291;Little Rock
292;Lincoln Park
293;Marion
294;Littleton
295;Bangor
296;Southaven
297;New Castle
298;Midland
299;Sioux Falls
300;Fort Collins
301;Clarksville
302;Sacramento
303;Thousand Oaks
304;Malden
305;Holyoke
306;Albuquerque
307;Sparks
308;Coachella
309;Elmhurst
310;Passaic
311;North Charleston
312;Newport News
313;Jamestown
314;Mishawaka
315;La Quinta
316;Tallahassee
317;Nashville
318;Bellingham
319;Woodstock
320;Haltom City
321;Wheeling
322;Summerville
323;Hot Springs
324;Englewood
325;Las Cruces
326;Hoover
327;Frisco
328;Vacaville
329;Waukesha
330;Bakersfield
331;Pompano Beach
332;Corpus Christi
333;Redondo Beach
334;Orlando
335;Orange
336;Lake Charles
337;Highland Park
338;Hempstead
339;Noblesville
340;Apple Valley
341;Mount Pleasant
342;Sterling Heights
343;Eau Claire
344;Pharr
345;Billings
346;Gresham
347;Chattanooga
348;Meridian
349;Bolingbrook
350;Maple Grove
351;Woodland
352;Missouri City
353;Pearland
354;San Mateo
355;Grand Rapids
356;Visalia
357;Overland Park
358;Temecula
359;Yucaipa
360;Revere
361;Conroe
362;Tinley Park
363;Dubuque
364;Dearborn Heights
365;Santa Fe
366;Hickory
367;Carol Stream
368;Saint Cloud
369;North Miami
370;Plantation
371;Port Saint Lucie
372;Rock Hill
373;Odessa
374;West Allis
375;Chula Vista
376;Manhattan
377;Altoona
378;Thornton
379;Champaign
380;Texarkana
381;Edinburg
382;Baytown
383;Greenwood
384;Woonsocket
385;Superior
386;Bedford
387;Covington
388;Broken Arrow
389;Miramar
390;Hollywood
391;Deer Park
392;Wichita
393;Mcallen
394;Iowa City
395;Boise
396;Cranston
397;Port Arthur
398;Citrus Heights
399;The Colony
400;Daytona Beach
401;Bullhead City
402;Portage
403;Fargo
404;Elkhart
405;San Gabriel
406;Margate
407;Sandy Springs
408;Mentor
409;Lawton
410;Hampton
411;Rome
412;La Crosse
413;Lewiston
414;Hattiesburg
415;Danville
416;Logan
417;Waterbury
418;Athens
419;Avondale
420;Marietta
421;Yuma
422;Wausau
423;Pasco
424;Oak Park
425;Pensacola
426;League City
427;Gaithersburg
428;Lehi
429;Tuscaloosa
430;Moreno Valley
431;Georgetown
432;Loveland
433;Chandler
434;Helena
435;Kirkwood
436;Waco
437;Frankfort
438;Bethlehem
439;Grand Island
440;Woodbury
441;Rogers
442;Clovis
443;Jupiter
444;Santa Barbara
445;Cedar Hill
446;Norfolk
447;Draper
448;Ann Arbor
449;La Mesa
450;Pocatello
451;Holland
452;Milford
453;Buffalo Grove
454;Lake Forest
455;Redding
456;Chico
457;Utica
458;Conway
459;Cheyenne
460;Owensboro
461;Caldwell
462;Kenner
463;Nashua
464;Bartlett
465;Redwood City
466;Lebanon
467;Santa Maria
468;Des Plaines
469;Longview
470;Hendersonville
471;Waterloo
472;Cambridge
473;Palatine
474;Beverly
475;Eugene
476;Oxnard
477;Renton
478;Glenview
479;Delray Beach
480;Commerce City
481;Texas City
482;Wilson
483;Rio Rancho
484;Goldsboro
485;Montebello
486;El Cajon
487;Beaumont
488;West Palm Beach
489;Abilene
490;Normal
491;Saint Charles
492;Camarillo
493;Hillsboro
494;Burbank
495;Modesto
496;Garden City
497;Atlantic City
498;Longmont
499;Davis
500;Morgan Hill
501;Clifton
502;Sheboygan
503;East Point
504;Rapid City
505;Andover
506;Kissimmee
507;Shelton
508;Danbury
509;Sanford
510;San Marcos
511;Greeley
512;Mansfield
513;Elyria
514;Twin Falls
515;Coral Gables
516;Romeoville
517;Marlborough
518;Laurel
519;Bryan
520;Pine Bluff
521;Aberdeen
522;Hagerstown
523;East Orange
524;Arlington Heights
525;Oswego
526;Coon Rapids
527;San Clemente
528;San Luis Obispo
529;Springdale
530;Lodi
531;Mason
