Order ID;Order Date;Ship Date;IdShipMode;Customer ID
CA-2016-152156;8/11/2016;11/11/2016;1;CG-12520
CA-2016-138688;12/6/2016;16/6/2016;1;DV-13045
US-2015-108966;11/10/2015;18/10/2015;2;SO-20335
CA-2014-115812;9/6/2014;14/6/2014;2;BH-11710
CA-2017-114412;15/4/2017;20/4/2017;2;AA-10480
CA-2016-161389;5/12/2016;10/12/2016;2;IM-15070
US-2015-118983;22/11/2015;26/11/2015;2;HP-14815
CA-2014-105893;11/11/2014;18/11/2014;2;PK-19075
CA-2014-167164;13/5/2014;15/5/2014;1;AG-10270
CA-2014-143336;27/8/2014;1/9/2014;1;ZD-21925
CA-2016-137330;9/12/2016;13/12/2016;2;KB-16585
US-2017-156909;16/7/2017;18/7/2017;1;SF-20065
CA-2015-106320;25/9/2015;30/9/2015;2;EB-13870
CA-2016-121755;16/1/2016;20/1/2016;1;EH-13945
US-2015-150630;17/9/2015;21/9/2015;2;TB-21520
CA-2017-107727;19/10/2017;23/10/2017;1;MA-17560
CA-2016-117590;8/12/2016;10/12/2016;3;GH-14485
CA-2015-117415;27/12/2015;31/12/2015;2;SN-20710
CA-2017-120999;10/9/2017;15/9/2017;2;LC-16930
CA-2016-101343;17/7/2016;22/7/2016;2;RA-19885
CA-2017-139619;19/9/2017;23/9/2017;2;ES-14080
CA-2016-118255;11/3/2016;13/3/2016;3;ON-18715
CA-2014-146703;20/10/2014;25/10/2014;1;PO-18865
CA-2016-169194;20/6/2016;25/6/2016;2;LH-16900
CA-2015-115742;18/4/2015;22/4/2015;2;DP-13000
CA-2016-105816;11/12/2016;17/12/2016;2;JM-15265
CA-2016-111682;17/6/2016;18/6/2016;3;TB-21055
CA-2015-135545;24/11/2015;30/11/2015;2;KM-16720
US-2015-164175;30/4/2015;5/5/2015;2;PS-18970
CA-2014-106376;5/12/2014;10/12/2014;2;BS-11590
CA-2016-119823;4/6/2016;6/6/2016;3;KD-16270
CA-2016-106075;18/9/2016;23/9/2016;2;HM-14980
CA-2017-114440;14/9/2017;17/9/2017;1;TB-21520
US-2015-134026;26/4/2015;2/5/2015;2;JE-15745
US-2017-118038;9/12/2017;11/12/2017;3;KB-16600
US-2014-147606;26/11/2014;1/12/2014;1;JE-15745
CA-2016-127208;12/6/2016;15/6/2016;3;SC-20770
CA-2014-139451;12/10/2014;16/10/2014;2;DN-13690
CA-2015-149734;3/9/2015;8/9/2015;2;JC-16105
US-2017-119662;13/11/2017;16/11/2017;3;CS-12400
CA-2017-140088;28/5/2017;30/5/2017;1;PO-18865
CA-2017-155558;26/10/2017;2/11/2017;2;PG-18895
CA-2016-159695;5/4/2016;10/4/2016;1;GM-14455
CA-2016-109806;17/9/2016;22/9/2016;2;JS-15685
CA-2015-149587;31/1/2015;5/2/2015;1;KB-16315
US-2017-109484;6/11/2017;12/11/2017;2;RB-19705
CA-2017-161018;9/11/2017;11/11/2017;1;PN-18775
CA-2017-157833;17/6/2017;20/6/2017;3;KD-16345
CA-2016-149223;6/9/2016;11/9/2016;2;ER-13855
CA-2016-158568;29/8/2016;2/9/2016;2;RB-19465
CA-2016-129903;1/12/2016;4/12/2016;1;GZ-14470
US-2015-156867;13/11/2015;17/11/2015;2;LC-16870
CA-2017-119004;23/11/2017;28/11/2017;2;JM-15250
CA-2015-129476;15/10/2015;20/10/2015;2;PA-19060
CA-2017-146780;25/12/2017;30/12/2017;2;CV-12805
CA-2016-128867;3/11/2016;10/11/2016;2;CL-12565
CA-2014-115259;25/8/2014;27/8/2014;1;RC-19960
CA-2015-110457;2/3/2015;6/3/2015;2;DK-13090
US-2015-136476;5/4/2015;10/4/2015;2;GG-14650
CA-2016-103730;12/6/2016;15/6/2016;3;SC-20725
US-2014-152030;26/12/2014;28/12/2014;1;AD-10180
US-2014-134614;20/9/2014;25/9/2014;2;PF-19165
US-2017-107272;5/11/2017;12/11/2017;2;TS-21610
US-2016-125969;6/11/2016;10/11/2016;1;LS-16975
US-2017-164147;2/2/2017;5/2/2017;3;DW-13585
CA-2016-145583;13/10/2016;19/10/2016;2;LC-16885
CA-2016-110366;5/9/2016;7/9/2016;1;JD-15895
CA-2017-106180;18/9/2017;23/9/2017;2;SH-19975
CA-2017-155376;22/12/2017;27/12/2017;2;SG-20080
CA-2015-110744;7/9/2015;12/9/2015;2;HA-14920
CA-2014-110072;22/10/2014;28/10/2014;2;MG-17680
CA-2016-114489;5/12/2016;9/12/2016;2;JE-16165
CA-2016-158834;13/3/2016;16/3/2016;3;TW-21025
CA-2015-124919;31/5/2015;2/6/2015;3;SP-20650
CA-2015-118948;28/5/2015;3/6/2015;2;NK-18490
CA-2014-104269;1/3/2014;6/3/2014;1;DB-13060
CA-2016-114104;20/11/2016;24/11/2016;2;NP-18670
CA-2016-162733;11/5/2016;12/5/2016;3;TT-21070
CA-2015-119697;28/12/2015;31/12/2015;1;EM-13960
CA-2016-154508;16/11/2016;20/11/2016;2;RD-19900
CA-2016-113817;7/11/2016;11/11/2016;2;MJ-17740
CA-2014-139892;8/9/2014;12/9/2014;2;BM-11140
CA-2014-118962;5/8/2014;9/8/2014;2;CS-12130
US-2014-100853;14/9/2014;19/9/2014;2;JB-15400
US-2017-152366;21/4/2017;25/4/2017;1;SJ-20500
US-2015-101511;21/11/2015;23/11/2015;1;JE-15745
CA-2015-137225;15/12/2015;19/12/2015;2;JK-15640
CA-2014-166191;5/12/2014;9/12/2014;1;DK-13150
CA-2014-158274;19/11/2014;24/11/2014;1;RM-19675
CA-2016-105018;28/11/2016;2/12/2016;2;SK-19990
CA-2014-123260;26/8/2014;30/8/2014;2;FM-14290
CA-2016-157000;16/7/2016;22/7/2016;2;AM-10360
CA-2015-102281;12/10/2015;14/10/2015;3;MP-17470
CA-2015-131457;31/10/2015;6/11/2015;2;MZ-17515
CA-2014-140004;21/3/2014;25/3/2014;2;CB-12025
CA-2017-107720;6/11/2017;13/11/2017;2;VM-21685
US-2017-124303;6/7/2017;13/7/2017;2;FH-14365
CA-2017-105074;24/6/2017;29/6/2017;2;MB-17305
CA-2014-133690;3/8/2014;5/8/2014;3;BS-11755
US-2017-116701;17/12/2017;21/12/2017;1;LC-17140
CA-2017-126382;3/6/2017;7/6/2017;2;HK-14890
CA-2017-108329;9/12/2017;14/12/2017;2;LE-16810
CA-2017-135860;1/12/2017;7/12/2017;2;JH-15985
CA-2015-101007;9/2/2015;13/2/2015;1;MS-17980
CA-2015-146262;2/1/2015;9/1/2015;2;VW-21775
CA-2016-130162;28/10/2016;1/11/2016;2;JH-15910
CA-2015-169397;24/12/2015;27/12/2015;3;JB-15925
CA-2015-163055;9/8/2015;16/8/2015;2;DS-13180
US-2015-145436;28/2/2015;4/3/2015;2;VD-21670
US-2014-156216;13/9/2014;17/9/2014;2;EA-14035
US-2017-100930;7/4/2017;12/4/2017;2;CS-12400
CA-2017-160514;12/11/2017;16/11/2017;2;DB-13120
CA-2016-157749;4/6/2016;9/6/2016;1;KL-16645
CA-2014-131926;1/6/2014;6/6/2014;1;DW-13480
CA-2016-154739;10/12/2016;15/12/2016;1;LH-17155
CA-2016-145625;11/9/2016;17/9/2016;2;KC-16540
CA-2016-146941;10/12/2016;13/12/2016;3;DL-13315
US-2015-159982;28/11/2015;4/12/2015;2;DR-12880
CA-2017-163139;1/12/2017;3/12/2017;1;CC-12670
US-2017-155299;8/6/2017;12/6/2017;2;Dl-13600
US-2014-106992;19/9/2014;21/9/2014;1;SB-20290
CA-2016-125318;6/6/2016;13/6/2016;2;RC-19825
CA-2015-155040;10/11/2015;15/11/2015;2;AH-10210
CA-2017-136826;16/6/2017;20/6/2017;2;CB-12535
CA-2016-111010;22/1/2016;28/1/2016;2;PG-18895
US-2017-145366;9/12/2017;13/12/2017;2;CA-12310
CA-2017-163979;28/12/2017;2/1/2018;1;KH-16690
CA-2015-155334;30/7/2015;31/7/2015;3;HA-14920
CA-2017-118136;16/9/2017;17/9/2017;3;BB-10990
CA-2017-132976;13/10/2017;17/10/2017;2;AG-10495
US-2015-161991;26/9/2015;28/9/2015;1;SC-20725
CA-2015-130890;2/11/2015;6/11/2015;2;JO-15280
CA-2015-130883;26/9/2015;2/10/2015;2;TB-21520
CA-2016-112697;18/12/2016;20/12/2016;1;AH-10195
CA-2016-110772;20/11/2016;24/11/2016;1;NZ-18565
CA-2014-111451;26/12/2014;28/12/2014;3;KL-16555
