Product ID;Product Name;IdCategory;IdSub-Category;Sales
FUR-BO-10001798;Bush Somerset Collection Bookcase;1;1;261.96
FUR-CH-10000454;Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back;1;2;731.94
OFF-LA-10000240;Self-Adhesive Address Labels for Typewriters by Universal;2;3;14.62
FUR-TA-10000577;Bretford CR4500 Series Slim Rectangular Table;1;4;957.5775
OFF-ST-10000760;Eldon Fold 'N Roll Cart System;2;5;22.368
FUR-FU-10001487;Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood;1;6;48.86
OFF-AR-10002833;Newell 322;2;7;7.28
TEC-PH-10002275;Mitel 5320 IP Phone VoIP phone;3;8;907.152
OFF-BI-10003910;DXL Angle-View Binders with Locking Rings by Samsill;2;9;18.504
OFF-AP-10002892;Belkin F5C206VTEL 6 Outlet Surge;2;10;114.9
FUR-TA-10001539;Chromcraft Rectangular Conference Tables;1;4;1706.184
TEC-PH-10002033;Konftel 250 Conference phone - Charcoal black;3;8;911.424
OFF-PA-10002365;Xerox 1967;2;11;15.552
OFF-BI-10003656;Fellowes PB200 Plastic Comb Binding Machine;2;9;407.976
OFF-AP-10002311;Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter;2;10;68.81
OFF-BI-10000756;Storex DuraTech Recycled Plastic Frosted Binders;2;9;2.544
OFF-ST-10004186;"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D";2;5;665.88
OFF-ST-10000107;Fellowes Super Stor/Drawer;2;5;55.5
OFF-AR-10003056;Newell 341;2;7;8.56
TEC-PH-10001949;Cisco SPA 501G IP Phone;3;8;213.48
OFF-BI-10002215;"Wilson Jones Hanging View Binder, White, 1""";2;9;22.72
OFF-AR-10000246;Newell 318;2;7;19.46
OFF-AP-10001492;Acco Six-Outlet Power Strip, 4' Cord Length;2;10;60.34
FUR-CH-10002774;Global Deluxe Stacking Chair, Gray;1;2;71.372
OFF-BI-10001634;Wilson Jones Active Use Binders;2;9;11.648
TEC-AC-10003027;Imation 8GB Mini TravelDrive USB 2.0 Flash Drive;3;12;90.57
FUR-BO-10004834;Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish;1;1;3083.43
OFF-BI-10000474;Avery Recycled Flexi-View Covers for Binding Systems;2;9;9.618
FUR-FU-10004848;"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock";1;6;124.2
